,POS,BIB,ATHLETE,COUNTRY,MARK,RxnTime,Race,Round,Gender,Year
559,7.0,1114.0,Sheniqua FERGUSON,BAHBAH,11.32,0.161,100 m,Semi,F,2012
560,8.0,2277.0,Olga SAFRONOVA,KAZKAZ,11.39,0.153,100 m,Semi,F,2012
561,1.0,2584.0,Blessing OKAGBARE,NGRNGR,10.92 Q,0.142,100 m,Semi,F,2012
562,2.0,3306.0,Tianna BARTOLETTA,USAUSA,10.92 Q,0.15,100 m,Semi,F,2012
563,3.0,1402.0,Murielle AHOURÉ,CIVCIV,11.01 q,0.156,100 m,Semi,F,2012
564,4.0,2207.0,Kerron STEWART,JAMJAM,11.04,0.161,100 m,Semi,F,2012
565,5.0,1791.0,Myriam SOUMARÉ,FRAFRA,11.13,0.157,100 m,Semi,F,2012
566,6.0,1963.0,Verena SAILER,GERGER,11.25,0.141,100 m,Semi,F,2012
567,7.0,2433.0,Lina GRINCIKAITÉ-SAMUOLE,LTULTU,11.3,0.136,100 m,Semi,F,2012
568,8.0,3053.0,Michelle-Lee AHYE,TTOTTO,11.32,0.17600000000000002,100 m,Semi,F,2012
569,1.0,2197.0,Shelly-Ann FRASER-PRYCE,JAMJAM,10.75,0.153,100 m,Final,F,2012
570,2.0,3299.0,Carmelita JETER,USAUSA,10.78,0.153,100 m,Final,F,2012
571,3.0,2194.0,Veronica CAMPBELL-BROWN,JAMJAM,10.81,0.14300000000000002,100 m,Final,F,2012
572,4.0,3306.0,Tianna BARTOLETTA,USAUSA,10.85,0.171,100 m,Final,F,2012
573,5.0,3287.0,Allyson FELIX,USAUSA,10.89,0.17600000000000002,100 m,Final,F,2012
574,6.0,3055.0,Kelly-Ann BAPTISTE,TTOTTO,10.94,0.128,100 m,Final,F,2012
575,7.0,1402.0,Murielle AHOURÉ,CIVCIV,11,0.156,100 m,Final,F,2012
576,8.0,2584.0,Blessing OKAGBARE,NGRNGR,11.01,0.165,100 m,Final,F,2012
577,1.0,1209.0,Artur Bruno ROJAS,BOLBOL,10.62 Q,0.162,100 m,Preliminary,M,2012
578,2.0,1329.0,Devilert Arsene KIMBEMBE,CGOCGO,10.68 Q,0.14300000000000002,100 m,Preliminary,M,2012
579,3.0,1882.0,Holder DA SILVA,GBSGBS,10.69 q,0.168,100 m,Preliminary,M,2012
580,4.0,3018.0,Joseph Andy LUI,TGATGA,11.17,0.184,100 m,Preliminary,M,2012
581,5.0,1124.0,Mohan KHAN,BANBAN,11.25,0.149,100 m,Preliminary,M,2012
582,6.0,2383.0,Kilakone SIPHONEXAY,LAOLAO,11.3,0.174,100 m,Preliminary,M,2012
583,7.0,2964.0,Christopher LIMA DA COSTA,STPSTP,11.56,0.195,100 m,Preliminary,M,2012
584,1.0,2985.0,Jurgen THEMEN,SURSUR,10.55 Q,0.158,100 m,Preliminary,M,2012
585,2.0,2061.0,Fernando LUMAIN,INAINA,10.80 Q,0.155,100 m,Preliminary,M,2012
586,3.0,1795.0,Wilfried BINGANGOYE,GABGAB,10.89,0.239,100 m,Preliminary,M,2012
587,4.0,2621.0,Liaqat ALI,PAKPAK,10.9,0.16899999999999998,100 m,Preliminary,M,2012
588,5.0,2639.0,Rodman TELTULL,PLWPLW,11.06,0.171,100 m,Preliminary,M,2012
589,6.0,3105.0,Tavevele NOA,TUVTUV,11.55,0.18,100 m,Preliminary,M,2012
590,7.0,2517.0,Timi GARSTANG,MHLMHL,12.81,0.162,100 m,Preliminary,M,2012
591,1.0,1275.0,Berenger Aymard BOSSE,CAFCAF,10.55 Q,0.162,100 m,Preliminary,M,2012
592,2.0,2917.0,Foo Ee YEO,SGPSGP,10.57 Q,0.159,100 m,Preliminary,M,2012
593,3.0,2493.0,Azneem AHMED,MDVMDV,10.79 q,0.153,100 m,Preliminary,M,2012
594,4.0,2166.0,J'Maal ALEXANDER,IVBIVB,10.92,0.163,100 m,Preliminary,M,2012
595,5.0,1793.0,John HOWARD,FSMFSM,11.05,0.203,100 m,Preliminary,M,2012
596,6.0,2943.0,Chris Meke WALASI,SOLSOL,11.42,0.16399999999999998,100 m,Preliminary,M,2012
597,7.0,1033.0,Elama FA'ATONU,ASAASA,11.48,0.17,100 m,Preliminary,M,2012
598,1.0,1273.0,Gérard KOBÉANÉ,BURBUR,10.42 Q,0.19399999999999998,100 m,Preliminary,M,2012
599,2.0,2530.0,Fabrice COIFFIC,MRIMRI,10.62 Q,0.149,100 m,Preliminary,M,2012
600,3.0,3360.0,Courtney WILLIAMS,VINVIN,10.8,0.16399999999999998,100 m,Preliminary,M,2012
601,4.0,2523.0,Rachid CHOUHAL,MLTMLT,10.83,0.16,100 m,Preliminary,M,2012
602,5.0,2564.0,Tilak Ram THARU,NEPNEP,10.85,0.156,100 m,Preliminary,M,2012
603,6.0,1001.0,Massoud AZIZI,AFGAFG,11.19,0.16699999999999998,100 m,Preliminary,M,2012
604,7.0,2348.0,Nooa TAKOOA,KIRKIR,11.53,0.155,100 m,Preliminary,M,2012
605,8.0,1409.0,Patrick TUARA,COKCOK,11.72,0.165,100 m,Preliminary,M,2012
606,1.0,3051.0,Richard THOMPSON,TTOTTO,10.14 Q,0.151,100 m,Heats,M,2012
607,2.0,3365.0,Gerald PHIRI,ZAMZAM,10.16 Q,0.147,100 m,Heats,M,2012
608,3.0,2598.0,Jaysuma SAIDY NDURE,NORNOR,10.28,0.166,100 m,Heats,M,2012
609,4.0,1636.0,Ángel David RODRÍGUEZ,ESPESP,10.34,0.168,100 m,Heats,M,2012
610,5.0,2985.0,Jurgen THEMEN,SURSUR,10.53,0.16899999999999998,100 m,Heats,M,2012
611,6.0,1417.0,Isidro MONTOYA,COLCOL,10.54,0.165,100 m,Heats,M,2012
612,7.0,2917.0,Foo Ee YEO,SGPSGP,10.69,0.14400000000000002,100 m,Heats,M,2012
613,,3217.0,Tyson GAY,USAUSA,DQ,0.147,100 m,Heats,M,2012
614,1.0,3216.0,Justin GATLIN,USAUSA,9.97 Q,0.2,100 m,Heats,M,2012
615,2.0,1098.0,Derrick ATKINS,BAHBAH,10.22 Q,0.179,100 m,Heats,M,2012
616,3.0,3049.0,Rondel SORRILLO,TTOTTO,10.23 Q,0.14800000000000002,100 m,Heats,M,2012
617,4.0,2657.0,Dariusz KUC,POLPOL,10.24,0.163,100 m,Heats,M,2012
618,5.0,1215.0,Nilson ANDRÈ,BRABRA,10.26,0.172,100 m,Heats,M,2012
619,6.0,2220.0,Masashi ERIGUCHI,JPNJPN,10.3,0.14400000000000002,100 m,Heats,M,2012
620,7.0,2618.0,Barakat Mubarak AL-HARTHI,OMAOMA,10.41,0.152,100 m,Heats,M,2012
621,8.0,2061.0,Fernando LUMAIN,INAINA,10.9,0.162,100 m,Heats,M,2012
622,1.0,3205.0,Ryan BAILEY,USAUSA,9.88 Q,0.177,100 m,Heats,M,2012
623,2.0,1401.0,Ben Youssef MEITÉ,CIVCIV,10.06 Q,0.174,100 m,Heats,M,2012
624,3.0,1303.0,Justyn WARNER,CANCAN,10.09 Q,0.149,100 m,Heats,M,2012
625,4.0,1327.0,Kemar HYMAN,CAYCAY,10.16 q,0.15,100 m,Heats,M,2012
626,5.0,1797.0,Suwaibou SANNEH,GAMGAM,10.21 q,0.17600000000000002,100 m,Heats,M,2012
627,6.0,2427.0,Rytis SAKALAUSKAS,LTULTU,10.29,0.17800000000000002,100 m,Heats,M,2012
628,7.0,1275.0,Berenger Aymard BOSSE,CAFCAF,10.55,0.17,100 m,Heats,M,2012
629,8.0,1209.0,Artur Bruno ROJAS,BOLBOL,10.65,0.154,100 m,Heats,M,2012
630,1.0,2170.0,Usain BOLT,JAMJAM,10.09 Q,0.17800000000000002,100 m,Heats,M,2012
631,2.0,1016.0,Daniel BAILEY,ANTANT,10.12 Q,0.162,100 m,Heats,M,2012
632,3.0,1805.0,James DASAOLU,GBRGBR,10.13 Q,0.174,100 m,Heats,M,2012
633,4.0,1589.0,Amr Ibrahim Mostafa SEOUD,EGYEGY,10.22,0.16399999999999998,100 m,Heats,M,2012
634,5.0,2923.0,Jason ROGERS,SKNSKN,10.3,0.177,100 m,Heats,M,2012
635,6.0,2567.0,Ogho-Oghene EGWERO,NGRNGR,10.38,0.174,100 m,Heats,M,2012
636,7.0,1882.0,Holder DA SILVA,GBSGBS,10.71,0.182,100 m,Heats,M,2012
637,,1405.0,Idrissa ADAM,CMRCMR,DNF,0.20600000000000002,100 m,Heats,M,2012
638,1.0,2184.0,Asafa POWELL,JAMJAM,10.04 Q,0.166,100 m,Heats,M,2012
639,2.0,1809.0,Adam GEMILI,GBRGBR,10.11 Q,0.156,100 m,Heats,M,2012
640,3.0,2547.0,Churandy MARTINA,NEDNED,10.20 Q,0.168,100 m,Heats,M,2012
641,4.0,2082.0,Reza GHASEMI,IRIIRI,10.31,0.14800000000000002,100 m,Heats,M,2012
642,5.0,2570.0,Obinna METU,NGRNGR,10.35,0.153,100 m,Heats,M,2012
643,6.0,1127.0,Ramon GITTENS,BARBAR,10.35,0.162,100 m,Heats,M,2012
644,7.0,2007.0,Paul WILLIAMS,GRNGRN,10.65,0.168,100 m,Heats,M,2012
645,8.0,1329.0,Devilert Arsene KIMBEMBE,CGOCGO,10.94,0.157,100 m,Heats,M,2012
646,1.0,2169.0,Yohan BLAKE,JAMJAM,10.00 Q,0.175,100 m,Heats,M,2012
647,2.0,2241.0,Ryota YAMAGATA,JPNJPN,10.07 Q,0.149,100 m,Heats,M,2012
648,3.0,1360.0,Bingtian SU,CHNCHN,10.19 Q,0.162,100 m,Heats,M,2012
649,4.0,2919.0,Antoine ADAMS,SKNSKN,10.22 q,0.154,100 m,Heats,M,2012
650,5.0,2568.0,Peter EMELIEZE,NGRNGR,10.22,0.153,100 m,Heats,M,2012
651,6.0,2024.0,Jeremy BASCOM,GUYGUY,10.31,0.135,100 m,Heats,M,2012
652,7.0,1668.0,Marek NIIT,ESTEST,10.4,0.158,100 m,Heats,M,2012
653,8.0,2493.0,Azneem AHMED,MDVMDV,10.84,0.157,100 m,Heats,M,2012
654,1.0,1803.0,Dwain CHAMBERS,GBRGBR,10.02 Q,0.157,100 m,Heats,M,2012
655,2.0,1769.0,Jimmy VICAUT,FRAFRA,10.11 Q,0.196,100 m,Heats,M,2012
656,3.0,3038.0,Keston BLEDMAN,TTOTTO,10.13 Q,0.195,100 m,Heats,M,2012
657,4.0,1101.0,Warren FRASER,BAHBAH,10.27,0.171,100 m,Heats,M,2012
658,5.0,2745.0,Miguel LÓPEZ,PURPUR,10.31,0.145,100 m,Heats,M,2012
659,6.0,1273.0,Gérard KOBÉANÉ,BURBUR,10.48,0.18600000000000003,100 m,Heats,M,2012
660,7.0,2530.0,Fabrice COIFFIC,MRIMRI,10.59,0.165,100 m,Heats,M,2012
661,,2920.0,Kim COLLINS,SKNSKN,DNS,,100 m,Heats,M,2012
662,1.0,3216.0,Justin GATLIN,USAUSA,9.82 Q,0.187,100 m,Semi,M,2012
663,2.0,2547.0,Churandy MARTINA,NEDNED,9.91 Q,0.14800000000000002,100 m,Semi,M,2012
664,3.0,2184.0,Asafa POWELL,JAMJAM,9.94 q,0.155,100 m,Semi,M,2012
665,4.0,3038.0,Keston BLEDMAN,TTOTTO,10.04,0.175,100 m,Semi,M,2012
666,5.0,1401.0,Ben Youssef MEITÉ,CIVCIV,10.13,0.163,100 m,Semi,M,2012
667,6.0,1769.0,Jimmy VICAUT,FRAFRA,10.16,0.203,100 m,Semi,M,2012
668,7.0,1805.0,James DASAOLU,GBRGBR,10.18,0.174,100 m,Semi,M,2012
669,8.0,1797.0,Suwaibou SANNEH,GAMGAM,10.18,0.175,100 m,Semi,M,2012
670,1.0,2170.0,Usain BOLT,JAMJAM,9.87 Q,0.18,100 m,Semi,M,2012
671,2.0,3205.0,Ryan BAILEY,USAUSA,9.96 Q,0.155,100 m,Semi,M,2012
672,3.0,3051.0,Richard THOMPSON,TTOTTO,10.02 q,0.158,100 m,Semi,M,2012
673,4.0,1803.0,Dwain CHAMBERS,GBRGBR,10.05,0.154,100 m,Semi,M,2012
674,5.0,3365.0,Gerald PHIRI,ZAMZAM,10.11,0.165,100 m,Semi,M,2012
675,6.0,1016.0,Daniel BAILEY,ANTANT,10.16,0.142,100 m,Semi,M,2012
676,7.0,2919.0,Antoine ADAMS,SKNSKN,10.27,0.159,100 m,Semi,M,2012
677,8.0,1360.0,Bingtian SU,CHNCHN,10.28,0.157,100 m,Semi,M,2012
678,1.0,2169.0,Yohan BLAKE,JAMJAM,9.85 Q,0.17600000000000002,100 m,Semi,M,2012
679,2.0,1809.0,Adam GEMILI,GBRGBR,10.06,0.158,100 m,Semi,M,2012
680,3.0,1098.0,Derrick ATKINS,BAHBAH,10.08,0.16399999999999998,100 m,Semi,M,2012
681,4.0,1303.0,Justyn WARNER,CANCAN,10.09,0.135,100 m,Semi,M,2012
682,5.0,2241.0,Ryota YAMAGATA,JPNJPN,10.1,0.158,100 m,Semi,M,2012
683,6.0,3049.0,Rondel SORRILLO,TTOTTO,10.31,0.14,100 m,Semi,M,2012
684,,3217.0,Tyson GAY,USAUSA,DQ,0.151,100 m,Semi,M,2012
685,,1327.0,Kemar HYMAN,CAYCAY,DNS,,100 m,Semi,M,2012
686,1.0,2170.0,Usain BOLT,JAMJAM,9.63,0.165,100 m,Final,M,2012
687,2.0,2169.0,Yohan BLAKE,JAMJAM,9.75,0.179,100 m,Final,M,2012
688,3.0,3216.0,Justin GATLIN,USAUSA,9.79,0.17800000000000002,100 m,Final,M,2012
689,4.0,3205.0,Ryan BAILEY,USAUSA,9.88,0.17600000000000002,100 m,Final,M,2012
690,5.0,2547.0,Churandy MARTINA,NEDNED,9.94,0.139,100 m,Final,M,2012
691,6.0,3051.0,Richard THOMPSON,TTOTTO,9.98,0.16,100 m,Final,M,2012
692,7.0,2184.0,Asafa POWELL,JAMJAM,11.99,0.155,100 m,Final,M,2012
693,,3217.0,Tyson GAY,USAUSA,DQ,0.145,100 m,Final,M,2012
694,1.0,1202.0,Alina TALAY,BLRBLR,12.71 Q,0.22899999999999998,100 m H,Heats,F,2012
695,2.0,1324.0,Jessica ZELINKA,CANCAN,12.75 Q,0.16,100 m H,Heats,F,2012
696,3.0,1872.0,Tiffany PORTER,GBRGBR,12.79 Q,0.192,100 m H,Heats,F,2012
697,4.0,1147.0,Anne ZAGRE,BELBEL,13.04 q,0.188,100 m H,Heats,F,2012
698,5.0,2940.0,Marina TOMIC,SLOSLO,13.1,0.145,100 m H,Heats,F,2012
699,6.0,1403.0,Rosvitha OKOU,CIVCIV,13.62,0.17,100 m H,Heats,F,2012
700,7.0,2254.0,Ayako KIMURA,JPNJPN,13.75,0.16899999999999998,100 m H,Heats,F,2012
701,,2522.0,Rahamatou DRAME,MLIMLI,DQ,,100 m H,Heats,F,2012
702,1.0,1093.0,Beate SCHROTT,AUTAUT,13.09 Q,0.172,100 m H,Heats,F,2012
703,2.0,1143.0,Eline BERINGS,BELBEL,13.46 Q,0.14800000000000002,100 m H,Heats,F,2012
704,3.0,1117.0,Ivanique KEMP,BAHBAH,13.51 Q,0.163,100 m H,Heats,F,2012
705,4.0,2576.0,Seun ADIGUN,NGRNGR,13.56,0.149,100 m H,Heats,F,2012
706,5.0,2286.0,Anastassiya PILIPENKO,KAZKAZ,13.77,0.157,100 m H,Heats,F,2012
707,6.0,2965.0,Lecabela QUARESMA,STPSTP,14.54,0.165,100 m H,Heats,F,2012
708,,2198.0,LaToya GREAVES,JAMJAM,DNS,,100 m H,Heats,F,2012
709,,1856.0,Jessica ENNIS-HILL,GBRGBR,DNS,,100 m H,Heats,F,2012
710,1.0,3324.0,Kellie WELLS,USAUSA,12.69 Q,0.14400000000000002,100 m H,Heats,F,2012
711,2.0,2853.0,Tatyana DEKTYAREVA,RUSRUS,12.87 Q,0.168,100 m H,Heats,F,2012
712,3.0,1543.0,Lucie KROBÁKOVÁ,CZECZE,13.01 Q,0.172,100 m H,Heats,F,2012
713,4.0,1960.0,Cindy ROLEDER,GERGER,13.06 q,0.153,100 m H,Heats,F,2012
714,5.0,2212.0,Shermaine WILLIAMS,JAMJAM,13.07 q,0.16399999999999998,100 m H,Heats,F,2012
715,6.0,1427.0,Lina FLÓREZ,COLCOL,13.17,0.16,100 m H,Heats,F,2012
716,7.0,2279.0,Natalya IVONINSKAYA,KAZKAZ,13.48,0.132,100 m H,Heats,F,2012
717,8.0,1274.0,Marthe KOALA,BURBUR,13.91,0.158,100 m H,Heats,F,2012
718,1.0,3293.0,Dawn HARPER NELSON,USAUSA,12.75 Q,0.154,100 m H,Heats,F,2012
719,2.0,2857.0,Ekaterina GALITSKAIA,RUSRUS,12.89 Q,0.152,100 m H,Heats,F,2012
720,3.0,2109.0,Derval O'ROURKE,IRLIRL,12.91 q,0.13,100 m H,Heats,F,2012
721,4.0,1311.0,Nikkita HOLDER,CANCAN,12.93 q,0.16899999999999998,100 m H,Heats,F,2012
722,5.0,1435.0,Brigitte MERLANO,COLCOL,13.21,0.201,100 m H,Heats,F,2012
723,6.0,2364.0,Hyelim JUNG,KORKOR,13.48,0.142,100 m H,Heats,F,2012
724,7.0,2039.0,Jeimy BERNÁRDEZ,HONHON,14.36,0.159,100 m H,Heats,F,2012
725,,3102.0,Nevin YANIT,TURTUR,DQ,0.161,100 m H,Heats,F,2012
726,1.0,1079.0,Sally PEARSON,AUSAUS,12.57 Q,0.15,100 m H,Heats,F,2012
727,2.0,1789.0,Reïna-Flor OKORI,FRAFRA,13.01 Q,0.151,100 m H,Heats,F,2012
728,3.0,1955.0,Carolin DIETRICH,GERGER,13.30 Q,0.155,100 m H,Heats,F,2012
729,4.0,2288.0,Anastasiya SOPRUNOVA,KAZKAZ,13.4,0.166,100 m H,Heats,F,2012
730,5.0,2442.0,Sonata TAMOAITYTE,LTULTU,13.59,0.171,100 m H,Heats,F,2012
731,6.0,1566.0,Lavonne IDLETTE,DOMDOM,13.6,0.157,100 m H,Heats,F,2012
732,7.0,2918.0,Dipna LIM PRASAD,SGPSGP,14.68,0.162,100 m H,Heats,F,2012
733,8.0,2529.0,Silvia PANGUANA,MOZMOZ,14.68,0.21100000000000002,100 m H,Heats,F,2012
734,,1194.0,Ekaterina POPLAVSKAYA,BLRBLR,DQ,0.175,100 m H,Heats,F,2012
735,1.0,3301.0,LoLo JONES,USAUSA,12.68 Q,0.191,100 m H,Heats,F,2012
736,2.0,1309.0,Phylicia GEORGE,CANCAN,12.83 Q,0.18,100 m H,Heats,F,2012
737,3.0,2149.0,Marzia CARAVELLI,ITAITA,13.01 Q,0.16399999999999998,100 m H,Heats,F,2012
738,4.0,2871.0,Yuliya KONDAKOVA,RUSRUS,13.10 q,0.175,100 m H,Heats,F,2012
739,5.0,1388.0,Yawei SUN,CHNCHN,13.26,0.155,100 m H,Heats,F,2012
740,6.0,2983.0,Noemi ZBÄREN,SUISUI,13.33,0.185,100 m H,Heats,F,2012
741,7.0,2196.0,Brigitte FOSTER-HYLTON,JAMJAM,13.98,0.147,100 m H,Heats,F,2012
742,8.0,1150.0,Odile AHOUANWANOU,BENBEN,14.76,0.174,100 m H,Heats,F,2012
743,9.0,1889.0,Bibiana Martina OLAMA,GEQGEQ,16.18,0.192,100 m H,Heats,F,2012
744,1.0,3293.0,Dawn HARPER NELSON,USAUSA,12.46 Q,0.165,100 m H,Semi,F,2012
745,2.0,1093.0,Beate SCHROTT,AUTAUT,12.83 Q,0.155,100 m H,Semi,F,2012
746,3.0,2212.0,Shermaine WILLIAMS,JAMJAM,12.83,0.152,100 m H,Semi,F,2012
747,4.0,1202.0,Alina TALAY,BLRBLR,12.84,0.16899999999999998,100 m H,Semi,F,2012
748,5.0,2857.0,Ekaterina GALITSKAIA,RUSRUS,12.9,0.16,100 m H,Semi,F,2012
749,6.0,1311.0,Nikkita HOLDER,CANCAN,12.93,0.162,100 m H,Semi,F,2012
750,7.0,1955.0,Carolin DIETRICH,GERGER,13.31,0.153,100 m H,Semi,F,2012
751,,1789.0,Reïna-Flor OKORI,FRAFRA,DQ,,100 m H,Semi,F,2012
752,1.0,1079.0,Sally PEARSON,AUSAUS,12.39 Q,0.155,100 m H,Semi,F,2012
753,2.0,1324.0,Jessica ZELINKA,CANCAN,12.66 Q,0.16,100 m H,Semi,F,2012
754,3.0,3301.0,LoLo JONES,USAUSA,12.71 q,0.17800000000000002,100 m H,Semi,F,2012
755,4.0,1872.0,Tiffany PORTER,GBRGBR,12.79,0.157,100 m H,Semi,F,2012
756,5.0,2109.0,Derval O'ROURKE,IRLIRL,12.91,0.157,100 m H,Semi,F,2012
757,6.0,2871.0,Yuliya KONDAKOVA,RUSRUS,13.13,0.161,100 m H,Semi,F,2012
758,7.0,1143.0,Eline BERINGS,BELBEL,13.26,0.149,100 m H,Semi,F,2012
759,8.0,1117.0,Ivanique KEMP,BAHBAH,13.56,0.17800000000000002,100 m H,Semi,F,2012
760,1.0,3324.0,Kellie WELLS,USAUSA,12.51 Q,0.145,100 m H,Semi,F,2012
761,2.0,1309.0,Phylicia GEORGE,CANCAN,12.65 q,0.153,100 m H,Semi,F,2012
762,3.0,2853.0,Tatyana DEKTYAREVA,RUSRUS,12.75,0.156,100 m H,Semi,F,2012
763,4.0,1543.0,Lucie KROBÁKOVÁ,CZECZE,12.81,0.156,100 m H,Semi,F,2012
764,5.0,1147.0,Anne ZAGRE,BELBEL,12.94,0.161,100 m H,Semi,F,2012
765,6.0,1960.0,Cindy ROLEDER,GERGER,13.02,0.145,100 m H,Semi,F,2012
766,,3102.0,Nevin YANIT,TURTUR,DQ,0.16,100 m H,Semi,F,2012
767,,2149.0,Marzia CARAVELLI,ITAITA,DQ,0.14300000000000002,100 m H,Semi,F,2012
768,1.0,1079.0,Sally PEARSON,AUSAUS,12.35,0.13699999999999998,100 m H,Final,F,2012
769,2.0,3293.0,Dawn HARPER NELSON,USAUSA,12.37,0.156,100 m H,Final,F,2012
770,3.0,3324.0,Kellie WELLS,USAUSA,12.48,0.13699999999999998,100 m H,Final,F,2012
771,4.0,3301.0,LoLo JONES,USAUSA,12.58,0.163,100 m H,Final,F,2012
772,5.0,1309.0,Phylicia GEORGE,CANCAN,12.65,0.152,100 m H,Final,F,2012
773,6.0,1324.0,Jessica ZELINKA,CANCAN,12.69,0.145,100 m H,Final,F,2012
774,7.0,1093.0,Beate SCHROTT,AUTAUT,13.07,0.156,100 m H,Final,F,2012
775,,3102.0,Nevin YANIT,TURTUR,DQ,0.161,100 m H,Final,F,2012
776,1.0,2829.0,Sergey SHUBENKOV,RUSRUS,13.26 Q,0.157,110 m H,Heats,M,2012
777,2.0,1979.0,Konstadínos DOUVALÍDIS,GREGRE,13.40 Q,0.163,110 m H,Heats,M,2012
778,3.0,1136.0,Adrien DEGHELT,BELBEL,13.52 Q,0.158,110 m H,Heats,M,2012
779,4.0,1748.0,Garfield DARIEN,FRAFRA,13.54 q,0.171,110 m H,Heats,M,2012
780,5.0,1421.0,Paulo VILLAR,COLCOL,13.55 q,0.16899999999999998,110 m H,Heats,M,2012
781,6.0,1894.0,Matthias BÜHLER,GERGER,13.68,0.157,110 m H,Heats,M,2012
782,7.0,1358.0,Dongpeng SHI,CHNCHN,13.78,0.15,110 m H,Heats,M,2012
783,8.0,1884.0,David ILARIANI,GEOGEO,13.9,0.158,110 m H,Heats,M,2012
784,1.0,3246.0,Jason RICHARDSON,USAUSA,13.33 Q,0.192,110 m H,Heats,M,2012
785,2.0,1804.0,Lawrence CLARKE,GBRGBR,13.42 Q,0.16,110 m H,Heats,M,2012
786,3.0,1162.0,Maksim LYNSHA,BLRBLR,13.47 Q,0.168,110 m H,Heats,M,2012
787,4.0,3042.0,Wayne C. DAVIS II,TTOTTO,13.52 q,0.16899999999999998,110 m H,Heats,M,2012
788,5.0,2185.0,Andrew RILEY,JAMJAM,13.59,0.174,110 m H,Heats,M,2012
789,6.0,2707.0,João Carlos ALMEIDA,PORPOR,13.69,0.11599999999999999,110 m H,Heats,M,2012
790,7.0,2081.0,Rohollah ASGARI,IRIIRI,13.97,0.182,110 m H,Heats,M,2012
791,8.0,1326.0,Ronald FORBES,CAYCAY,14.21,0.161,110 m H,Heats,M,2012
792,,2744.0,Enrique LLANOS,PURPUR,DNF,0.174,110 m H,Heats,M,2012
793,1.0,1477.0,Orlando ORTEGA,CUBCUB,13.26 Q,0.158,110 m H,Heats,M,2012
794,2.0,2182.0,Hansle PARCHMENT,JAMJAM,13.32 Q,0.145,110 m H,Heats,M,2012
795,3.0,2827.0,Konstantin SHABANOV,RUSRUS,13.63 Q,0.14,110 m H,Heats,M,2012
796,4.0,1750.0,Ladji DOUCOURÉ,FRAFRA,13.67 q,0.17,110 m H,Heats,M,2012
797,5.0,3050.0,Mikel THOMAS,TTOTTO,13.74,0.135,110 m H,Heats,M,2012
798,6.0,1890.0,Erik BALNUWEIT,GERGER,13.77,0.152,110 m H,Heats,M,2012
799,,2445.0,Kame ALI,MADMAD,DQ,,110 m H,Heats,M,2012
800,,1110.0,Shamar SANDS,BAHBAH,DQ,0.16,110 m H,Heats,M,2012
801,,1829.0,Andrew POZZI,GBRGBR,DNF,0.14300000000000002,110 m H,Heats,M,2012
802,1.0,1478.0,Dayron ROBLES,CUBCUB,13.33 Q,0.172,110 m H,Heats,M,2012
803,2.0,2781.0,Lehann FOURIE,RSARSA,13.49 Q,0.159,110 m H,Heats,M,2012
804,3.0,3245.0,Jeff PORTER,USAUSA,13.53 Q,0.14800000000000002,110 m H,Heats,M,2012
805,4.0,1740.0,Dimitri BASCOU,FRAFRA,13.57 q,0.149,110 m H,Heats,M,2012
806,5.0,1128.0,Greggmar SWIFT,BARBAR,13.62,0.15,110 m H,Heats,M,2012
807,6.0,1906.0,Alexander JOHN,GERGER,13.67,0.195,110 m H,Heats,M,2012
808,7.0,2381.0,Fawaz AL-SHAMMARI,KUWKUW,14,0.174,110 m H,Heats,M,2012
809,8.0,2742.0,Héctor COTTO,PURPUR,14.08,0.158,110 m H,Heats,M,2012
810,9.0,2421.0,Ahmad HAZER,LBNLBN,14.82,0.195,110 m H,Heats,M,2012
811,1.0,3236.0,Aries MERRITT,USAUSA,13.07 Q,0.142,110 m H,Heats,M,2012
812,2.0,1125.0,Ryan BRATHWAITE,BARBAR,13.23 Q,0.166,110 m H,Heats,M,2012
813,3.0,1363.0,Wenjun XIE,CHNCHN,13.43 Q,0.14300000000000002,110 m H,Heats,M,2012
814,4.0,2127.0,Emanuele ABATE,ITAITA,13.46 q,0.146,110 m H,Heats,M,2012
815,5.0,2183.0,Richard PHILLIPS,JAMJAM,13.47 q,0.154,110 m H,Heats,M,2012
816,6.0,2044.0,Dániel KISS,HUNHUN,13.62,0.188,110 m H,Heats,M,2012
817,7.0,2805.0,Aleksey DREMIN,RUSRUS,13.75,0.151,110 m H,Heats,M,2012
818,8.0,2028.0,Jeffrey JULMIS,HAIHAI,13.87,0.161,110 m H,Heats,M,2012
819,9.0,2038.0,Ronald BENNETT,HONHON,14.45,0.207,110 m H,Heats,M,2012
820,1.0,1840.0,Andrew TURNER,GBRGBR,13.42 Q,0.159,110 m H,Heats,M,2012
821,2.0,2572.0,Selim NURUDEEN,NGRNGR,13.51 Q,0.141,110 m H,Heats,M,2012
822,3.0,2548.0,Gregory SEDOC,NEDNED,13.52 Q,0.157,110 m H,Heats,M,2012
823,4.0,1633.0,Jackson QUIÑÓNEZ,ESPESP,13.76,0.139,110 m H,Heats,M,2012
824,5.0,2040.0,Balázs BAJI,HUNHUN,13.76,0.154,110 m H,Heats,M,2012
825,,2909.0,Moussa DEMBELE,SENSEN,DQ,0.16699999999999998,110 m H,Heats,M,2012
826,,1126.0,Shane BRATHWAITE,BARBAR,DNF,0.124,110 m H,Heats,M,2012
